site,longitude,latitude,ve,vn,ee,en
BSB4,-145.79,63.91,1.2,4.699999999999999,0.8999999999999999,0.8
PPLN,-145.85,64.15,-1.2,2.2,0.8,0.8
SLCH,-146.98,64.48,0.4,3.1,0.6,0.6
DH97,-147.86,63.27,-7.4,6.3,1.0,0.8999999999999999
M110,-148.19,63.31,-7.199999999999999,4.0,1.6,1.2
SSWB,-149.09,63.34,-4.0,5.300000000000001,0.8,0.8
R109,-148.65,63.4,-5.6000000000000005,3.5,0.7000000000000001,0.7000000000000001
ORTT,-141.94,62.96,3.4000000000000004,1.5,0.8999999999999999,0.7000000000000001
SWB4,-145.03,65.56,-1.2,-3.1,2.8000000000000003,1.7999999999999998
EGL2,-145.39,65.49,-1.0,2.1,1.4000000000000001,1.1
TWLV,-145.99,65.41,0.0,0.0,1.2,1.0
FAIT,-146.26,65.35,-0.7000000000000001,1.7999999999999998,1.6,1.2
SPIL,-147.08,65.23,2.9,0.8999999999999999,2.2,1.6
CLGO,-147.86,64.87,0.8,2.3000000000000003,0.4,0.5
FAIR,-147.5,64.98,0.8999999999999999,3.1,0.4,0.5
WICK,-148.07,65.18,2.9,-0.1,0.5,0.5
YUKO,-149.09,65.68,1.7000000000000002,-0.2,0.5,0.5
NENA,-149.08,64.58,-2.0,0.5,1.4000000000000001,1.3
BRWN,-149.3,64.17,-1.5,1.1,1.2,0.8
GRNR,-148.98,63.84,-1.2,4.9,0.5,0.6
DFLY,-148.92,63.79,-3.2,4.2,1.0,0.8999999999999999
MINT,-148.9,65.1,0.2,2.5,0.7000000000000001,0.7000000000000001
GRIZ,-148.83,63.65,-3.5,4.5,1.4000000000000001,1.3
CARL,-148.81,63.55,-1.3,2.4,3.3000000000000003,2.3000000000000003
SLIM,-148.8,63.51,-4.5,-0.1,1.5,1.2
HIWA,-148.78,63.46,-3.5,4.699999999999999,0.6,0.6
PANA,-148.82,63.48,-4.699999999999999,5.6000000000000005,0.7000000000000001,0.7000000000000001
AC58,-170.22,57.16,-2.5,-3.2,0.5,0.5
WILL,-145.27,61.9,-4.5,13.799999999999999,4.3,2.6
GNAA,-145.97,62.11,-8.9,16.5,0.5,0.6
SPSW,-170.25,57.15,-2.2,-2.9,0.6,0.6
AC31,-162.24,64.64,0.2,-2.3000000000000003,0.4,0.5
AB14,-159.09,59.11,-6.5,-1.1,0.4,0.5
AC80,-151.77,62.39,-8.9,1.3,0.4,0.5
AC19,-153.61,62.52,-4.9,-0.5,0.4,0.5
AC08,-153.65,58.93,-10.600000000000001,5.1,0.4,0.5
VOZN,-151.13,59.81,-11.200000000000001,10.2,0.5,0.6
MCES,-151.26,59.75,-10.1,8.7,0.4,0.6
PBAY,-151.27,59.57,-10.9,10.5,0.5,0.6
SPIT,-151.43,59.61,-11.0,8.7,0.5,0.6
AC45,-154.18,56.56,-17.5,28.1,0.4,0.5
AC34,-153.28,57.22,-18.400000000000002,20.7,0.4,0.5
AC67,-152.43,57.79,-15.3,18.2,0.4,0.5
MSWB,-166.79,53.91,-5.300000000000001,-1.6,0.5,0.6
AV09,-166.54,53.88,-5.1,-2.3000000000000003,0.5,0.5
MREP,-166.79,53.91,-4.4,-2.0,0.5,0.6
AV07,-166.04,54.16,-6.1,-2.2,0.5,0.5
AV15,-165.71,54.1,-5.2,-2.3000000000000003,0.5,0.5
AV08,-166.03,54.14,-5.300000000000001,-2.1,0.5,0.5
KATY,-163.52,55.04,-5.300000000000001,-3.1,0.7000000000000001,0.7000000000000001
TOMH,-163.32,54.74,-4.5,-1.5,1.5,1.2
PANK,-163.11,54.68,-5.8999999999999995,-3.0,0.8,0.7000000000000001
AB06,-163.42,54.89,-5.8,-2.2,0.5,0.5
WATS,-129.37,60.08,1.7000000000000002,1.1,0.5,0.6
TSLN,-132.82,60.21,3.2,1.2,0.5,0.6
MAMI,-130.2,63.18,3.7,0.4,0.5,0.5
WARE,-135.92,63.66,2.9,0.8,0.4,0.5
EAGP,-137.85,65.77,1.9,0.6,0.4,0.5
DAWS,-139.43,64.05,3.9000000000000004,2.3000000000000003,0.5,0.6
BCPR,-130.43,54.28,0.8,2.7,0.3,0.6
AC39,-152.39,58.61,-9.9,4.0,0.4,0.5
AC38,-153.34,57.75,-13.899999999999999,11.399999999999999,0.4,0.5
AC18,-152.25,58.93,-10.2,4.699999999999999,0.4,0.5
AC26,-154.15,58.21,-9.5,6.1,0.4,0.5
KARL,-154.45,57.57,-10.9,6.8999999999999995,0.7000000000000001,0.7000000000000001
CLAM,-152.51,57.65,-15.8,17.5,0.6,0.6
AC25,-162.31,55.09,-5.8999999999999995,-1.5,0.5,0.5
AC41,-160.41,55.91,-8.6,1.7999999999999998,0.5,0.6
AC28,-160.05,55.08,-8.6,4.699999999999999,0.4,0.5
AC12,-159.59,54.83,-9.399999999999999,7.6,0.5,0.6
AC21,-159.13,55.92,-10.1,5.5,0.4,0.5
AC40,-158.62,56.93,-9.0,1.6,0.4,0.5
AC52,-157.57,57.57,-10.700000000000001,2.6,0.4,0.5
AB07,-160.48,55.35,-8.5,3.8,0.5,0.5
WIK,-157.11,56.58,-12.0,9.7,0.4,0.5
YUK,-156.8,56.2,-13.600000000000001,14.8,0.4,0.5
SEMI,-156.69,56.05,-14.5,16.599999999999998,0.4,0.5
LSDP,-160.5,55.3,-8.9,3.3000000000000003,0.4,0.5
SDP1,-160.48,55.35,-8.9,2.3000000000000003,0.8999999999999999,0.7000000000000001
AB13,-158.5,56.31,-9.9,6.2,0.5,0.5
AC13,-155.62,55.82,-19.0,31.6,0.4,0.5
AC42,-162.78,54.47,-5.8,-2.6,0.5,0.5
